Day,cutoff_2,cutoff_3,cutoff_4,cutoff_5,cutoff_6,cutoff_7,cutoff_14,cutoff_28
1,0.21397494152137464,0.23750766932361833,0.26164628881640667,0.26692559566770757,0.3290084388230833,0.3304128587443594,0.41703582925708377,0.49809825324956386
2,0.2360639527562775,0.2753559453834225,0.28736101970882033,0.2996479922933479,0.3079471283893948,0.35285967641670524,0.45648439803882773,0.5346012335172732
3,0.2130189977794622,0.2951953951699526,0.3236900086826056,0.3987424704431483,0.4468790096656787,0.45882503130208696,0.4951678594848291,0.5270597189148625
4,0.19099429788673966,0.27310128145599033,0.3253702239706872,0.3603190571107216,0.40188454198181156,0.42855182649302165,0.451639777607553,0.4928649795212841
5,0.2298288084491376,0.32456327642992344,0.3824525370378311,0.3948524308838763,0.5147352192009458,0.4832065032418078,0.5168217490314585,0.5323426083606365
6,0.19768842831767433,0.2200264474798034,0.2518347250043525,0.2748047987991659,0.2914518466022443,0.41843239437496516,0.40744109972216336,0.5197987371370765
7,0.19448418697672282,0.22744318400862598,0.25205486782985376,0.4267246155586773,0.46634941796564544,0.4664736385531536,0.4824647806273309,0.49665531013615094
8,0.20887727697491176,0.2221076796570198,0.2530196557605507,0.26269236104617866,0.24131563456112842,0.4152081613471839,0.5165995477342166,0.5303714260651972
9,0.21253157791527183,0.289294104389949,0.4048821107231531,0.4048995256549593,0.4078906874982555,0.41551787651609795,0.40559960202654066,0.46529515109922664
10,0.20678390003591085,0.3286285014949161,0.32995200630341065,0.329406684923439,0.3387289047416955,0.4102910958256656,0.4172764465210118,0.5355741750195077
11,0.24158377956985466,0.23211476985746693,0.2934294717213744,0.42126832032036954,0.4316115644107674,0.4474522258646939,0.4556514117861351,0.5021133927002904
12,0.18174120113714512,0.20846858087445527,0.21816753067421438,0.19316389831894537,0.29627076679988323,0.29796739466459693,0.4281940528770481,0.5340426788914248
13,0.15026408096449867,0.20789905932613129,0.26312880348411877,0.2740548673096997,0.27504550933282346,0.2988850164642036,0.3238654971255735,0.36972687701437523
14,0.15339724573816582,0.15482998756746602,0.16593911482796223,0.15275304437537054,0.28941427134450115,0.29374829977679345,0.3169980764707748,0.34802643361108837
15,0.2049942423412801,0.34454602197332507,0.36009644417960224,0.37254833457524134,0.4321196701020828,0.45382849385459434,0.4704890150311663,0.5087302031546705
16,0.169457549024975,0.19774465319212578,0.2812166287676581,0.25809969037430236,0.272587679307549,0.31186248545519923,0.3805906241467158,0.5195232958169207
17,0.1424897736411014,0.17648759413341514,0.20790703515724263,0.3189567703560845,0.36634683849073063,0.42705684502803776,0.46670100360377453,0.5330900492825839
18,0.17959107270711125,0.2131696936292211,0.22034839725355257,0.20686015689588072,0.2173074805071687,0.2652077697530137,0.3554462278650761,0.4694391650910046
19,0.17285681859537863,0.18969831616341917,0.2583594549703806,0.2860379625941176,0.28664586449661383,0.31001276401014305,0.33369243557235595,0.5090609060157277
20,0.18683512541206018,0.21304170269691766,0.20352296330092245,0.26953452013242707,0.33717627400672584,0.3493582384201451,0.3966967903021036,0.5287943361578789
21,0.21230233304530383,0.24461425385610958,0.3148284299567345,0.3036135834051497,0.35851428546045594,0.37643340112675233,0.4082132896056576,0.5104935238738824
22,0.20790696309598244,0.2178996624047951,0.22608827255628156,0.33384851846281166,0.32163101872502964,0.33018317519016166,0.3666911933274132,0.36981263203520454
23,0.28039532614149254,0.302882566377976,0.30839678866780346,0.3619153699327338,0.36754466095893895,0.368584193947281,0.41479700393736774,0.5092325266192335
24,0.1866521352692899,0.2989520934839451,0.3181768277296779,0.37716516125121985,0.3595101017282999,0.42206665269954263,0.4612141891970792,0.4588284196984354
25,0.20136938174245694,0.3522307440373335,0.39055828384706237,0.4159796251621038,0.4466893390134146,0.47555079653962223,0.4780477900812426,0.4715038846859122
26,0.1891260016500288,0.2214381835840778,0.24522704465694467,0.2725838531879423,0.3343396073945673,0.4549139133876799,0.4822698656438183,0.47702779088336444
27,0.20943519033137808,0.25021552907630296,0.3651218343514326,0.40837540044158616,0.41219574150008514,0.3738187505141726,0.37619151333379297,0.5213542226835826
28,0.1903501090720848,0.2915435103827193,0.29638286274556436,0.3955865433668738,0.47019941076724586,0.48077782281001646,0.46797560006039035,0.517644576219862
29,0.2372290266369786,0.2525006804122558,0.42678502049732386,0.4300327414714625,0.49763354209037874,0.5207493250865526,0.5025936950194572,0.524867842767042
30,0.19143795686381654,0.2554222982216443,0.3151715914469667,0.47288289841067693,0.504990728117608,0.5255388488415945,0.4978361781335497,0.5372752616651909
